case_id,trade_nm,legal_name,street_addr_1_txt,cty_nm,st_cd,zip_cd,case_violtn_cnt,latitude,longitude
1718703,A & F Pallet Service,A & F Pallet Service,4333 South Knox Avenue,Chicago,IL,60632,3,41.8138141,-87.7392851
1631383,Diversey River Bowl,"Ivercrest, Inc.",2211 W. Diversey Ave,Chicago,IL,60647,4,41.9321364,-87.6835706
1713815,Chicago Commons,Chicago Commons,515 E 50th St. Suite 100,Chicago,IL,60615,1,41.80397,-87.61323
1718739,Mondelez International,"Mondelez Internatioinal, Inc.",7300 S. Kedzie,Chicago,IL,60629,0,41.7781,-87.7069
1730233,"City of Chicago, Dept. of Public",City of Chicago,"333 S. State Street, 2nd flr",Chicago,IL,60604,1,41.87777,-87.627593
1705738,Issac Transportation Corporation,"Issac Transportation Corporation, Inc.",3724 W. Fullerton Ave,Chicago,IL,60647,3,41.9247835,-87.7018184
1713875,Special Operations Training Institute,Special Operations Training Institute,"401 N. Michigan, #1200",Chicago,IL,60611,0,41.8971,-87.6223
1716401,MTM Technologies,MTM Technologies  LLC,17 N. State Street,Chicago,IL,60602,0,41.8826633,-87.6270109
1305069,SBC,Southwestern Bell Communications,2401 W. Grace,Chicago,IL,60618,1,41.9464,-87.7042
1306658,"Midwest Weather, Inc.","Midwest Weather, Inc.",Chicago O'Hare International Airport,Chicago,IL,60660,16,41.9779849,-87.9093214
1369477,"Civil Contractors & Engineers, Inc.","Civil Contractors & Engineers, Inc.",7132 N. Harlem Ave.,Chicago,IL,60631,1,42.0109706,-87.8069469
1388453,East Lake Management & Development Group,East Lake Management Group Inc.,2850 S. Michigan  Suite 100,Chicago,IL,60616,7,41.8426,-87.6306
1369669,"West Lawn Market, Ltd.",West Lawn Market,5838 S. Pulaski,Chicago,IL,60629,0,41.7781,-87.7069
1369673,Greek Islands,"Greek Islands Restaurant, Inc.",200 S. Halsted Street,Chicago,IL,60661,17,41.8789853,-87.6475092
1353988,Samland Healthcare,"Samland Health Care, Inc",4320 W. Montrose,Chicago,IL,60641,1,41.9453,-87.7474
1354002,La Strada Restuarant,"La Strada, Inc.",151 N. Michigan Avenue,Chicago,IL,60602,28,41.8845466,-87.6237464
1354123,Provident Hospital,Provident Hospital of Cook County,500 E. 51st St.,Chicago,IL,60615,1,41.8034476,-87.6142921
1354497,Alden Northmoor,Alden Northmoor Rehabilitation and Health Car,5831 N. Northwest Hwy,Chicago,IL,60631,0,41.9877792,-87.7904172
1383036,Highway Start Logistic,1st Highway Start Logistic,"2119 W. Chicago Avenue, 2R",Chicago,IL,60622,1,41.9019,-87.6779
1383177,University of Chicago Hospitals,The University of Chicago Hospitals,5841 S. Maryland,Chicago,IL,60637,0,41.7813,-87.6051
1313729,International Supermarket,"International Supermarket, Inc.",4556 S. Ashland,Chicago,IL,60609,12,41.8097,-87.6533
1340683,SBC,"Southwestern Bell Communications, Inc.",2401 West Grace Street,Chicago,IL,60618,1,41.9500309,-87.6887766
1341221,University of Illinois Campus Housing Office,University of Illinois at Chicago,818 S. Wolcott,Chicago,IL,60612,0,41.8805,-87.6873
1342019,Mobile Management,"Mobile Management Co., Inc.",6547 N. Avondale,Chicago,IL,60631,1,41.9951,-87.8082
1370443,"Lohan Gallery, Inc.","Lohan Gallery, Inc.",3716 W. Fullerton Ave.,Chicago,IL,60647,2,41.9248615,-87.7202391
1373940,Metra,Northeast Illinois Regional Railroad Corp,547 W. Jackson Blvd.,Chicago,IL,60661,0,41.8777544,-87.6414721
1380627,"Kopka, Pinkus & Dolin","Kopka, Pinkus & Dolin, P.C.","200 N. LaSalle St., Suite 2850",Chicago,IL,60601,25,41.885736,-87.632446
