,case_id,trade_nm,legal_name,street_addr_1_txt,cty_nm,st_cd,zip_cd,naic_cd,naics_code_description,case_violtn_cnt,cmp_assd_cnt,ee_violtd_cnt,bw_atp_amt,ee_atp_cnt,findings_start_date,findings_end_date,flsa_violtn_cnt,flsa_repeat_violator,flsa_bw_atp_amt,flsa_ee_atp_cnt,flsa_mw_bw_atp_amt,flsa_ot_bw_atp_amt,flsa_15a3_bw_atp_amt,flsa_cmp_assd_amt,sca_violtn_cnt,sca_bw_atp_amt,sca_ee_atp_cnt,mspa_violtn_cnt,mspa_bw_atp_amt,mspa_ee_atp_cnt,mspa_cmp_assd_amt,h1b_violtn_cnt,h1b_bw_atp_amt,h1b_ee_atp_cnt,h1b_cmp_assd_amt,fmla_violtn_cnt,fmla_bw_atp_amt,fmla_ee_atp_cnt,fmla_cmp_assd_amt,flsa_cl_violtn_cnt,flsa_cl_minor_cnt,flsa_cl_cmp_assd_amt,dbra_cl_violtn_cnt,dbra_bw_atp_amt,dbra_ee_atp_cnt,h2a_violtn_cnt,h2a_bw_atp_amt,h2a_ee_atp_cnt,h2a_cmp_assd_amt,flsa_smw14_violtn_cnt,flsa_smw14_bw_amt,flsa_smw14_ee_atp_cnt,cwhssa_violtn_cnt,cwhssa_bw_amt,cwhssa_ee_cnt,osha_violtn_cnt,osha_bw_atp_amt,osha_ee_atp_cnt,osha_cmp_assd_amt,eppa_violtn_cnt,eppa_bw_atp_amt,eppa_ee_cnt,eppa_cmp_assd_amt,h1a_violtn_cnt,h1a_bw_atp_amt,h1a_ee_atp_cnt,h1a_cmp_assd_amt,crew_violtn_cnt,crew_bw_atp_amt,crew_ee_atp_cnt,crew_cmp_assd_amt,ccpa_violtn_cnt,ccpa_bw_atp_amt,ccpa_ee_atp_cnt,flsa_smwpw_violtn_cnt,flsa_smwpw_bw_atp_amt,flsa_smwpw_ee_atp_cnt,flsa_hmwkr_violtn_cnt,flsa_hmwkr_bw_atp_amt,flsa_hmwkr_ee_atp_cnt,flsa_hmwkr_cmp_assd_amt,ca_violtn_cnt,ca_bw_atp_amt,ca_ee_atp_cnt,pca_violtn_cnt,pca_bw_atp_amt,pca_ee_atp_cnt,flsa_smwap_violtn_cnt,flsa_smwap_bw_atp_amt,flsa_smwap_ee_atp_cnt,flsa_smwft_violtn_cnt,flsa_smwft_bw_atp_amt,flsa_smwft_ee_atp_cnt,flsa_smwl_violtn_cnt,flsa_smwl_bw_atp_amt,flsa_smwl_ee_atp_cnt,flsa_smwmg_violtn_cnt,flsa_smwmg_bw_atp_amt,flsa_smwmg_ee_atp_cnt,flsa_smwsl_violtn_cnt,flsa_smwsl_bw_atp_amt,flsa_smwsl_ee_atp_cnt,eev_violtn_cnt,h2b_violtn_cnt,h2b_bw_atp_amt,h2b_ee_atp_cnt,sraw_violtn_cnt,sraw_bw_atp_amt,sraw_ee_atp_cnt,ld_dt
230204,1579982,"CBSL Transportation Services, Inc.","CBSL Transportation Services, Inc.",4750 S. Merrimac Ave.,Chicago,IL,60638,484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance",14,0,13,12870.88,13,5/9/08,5/8/10,14,,12870.88,13,0,12870.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
230246,1295380,Margaret Manor North,Nine Forty Collom Corporation,940 W. Cullom Avenue,Chicago,IL,60613,62431,Vocational Rehabilitation Services,24,0,24,994.96,24,4/8/01,10/5/03,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,994.96,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
230247,1295416,Manchow,"Devon Hot Wok, Inc.",2629 W. Devon Av,Chicago,IL,60659,722211,Limited-Service Restaurants,6,0,5,3858.01,5,11/15/02,6/1/03,6,,3858.01,5,0,3858.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
230532,1382216,Jimenez Carniceria,"Maribel Jimenez, Inc",3840 W. Fullerton,Chicago,IL,60647,44511,Supermarkets and Other Grocery (except Convenience) Stores,1,0,1,100,1,3/31/04,4/30/04,1,,100,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
230533,1382217,Leak & Sons Funeral Home,"Spencer Leak and Sons, Inc.",7838 S. Cottage Grove Ave.,Chicago,IL,60620,812210,Funeral Homes and Funeral Services,1,0,1,5000,1,1/4/03,10/15/04,1,,5000,1,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
230535,1382219,The John Marshall Law School,The John Marshall Law School,315 South Plymouth Court,Chicago,IL,60604,611310,"Colleges, Universities, and Professional Schools",1,0,1,0,0,1/1/04,12/31/04,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
230799,1658481,TLC First Animal Hospital,TLC First Animal Hospital Inc.,6468 N. Milwaukee Ave,Chicago,IL,60631,812910,Pet Care (except Veterinary) Services,2,0,1,25.44,1,7/1/10,7/1/12,2,,25.44,1,0,25.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
230828,1300583,Glen Crest Nursing,"Glen Health and Home Management, Inc.",2451 W. Touhy,Chicago,IL,60645,62311,Nursing Care Facilities,6,1080,6,33342.46,5,10/6/01,5/10/03,6,R,33342.46,5,0,33342.46,0,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
230892,1352179,Burlington Northern  & Santa Fe Railroad,Burlington Northern and Santa Fe Railway Co.,3611 W. 38th Street,Chicago,IL,60632,48211,Rail Transportation,2,0,1,0,0,10/26/02,10/25/04,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
230901,1352214,Taqueria la Kermes,La Kermes Corporation,3002 W. 26th St.,Chicago,IL,60623,72211,Full-Service Restaurants,7,0,6,10131.49,6,10/1/02,10/1/04,7,,10131.49,6,0,10131.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
230943,1679982,St. Rest Country Kitchen #2,St. Rest Missionary Baptist Church,727 East 87th Street,Chicago,IL,60619,722110,Full-Service Restaurants,17,0,15,2927.73,14,12/31/10,12/27/12,17,,2927.73,14,0,2927.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
231025,1373100,Kraft Foods,"Kraft Foods Global, Inc.",7300 S. Kedzie,Chicago,IL,60629,311821,Cookie and Cracker Manufacturing,1,0,1,0,0,7/12/04,10/11/04,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
231447,1198662,Sam the Shoe Doctor/Shoecrafters,"Sam's Shoe Service, LLC","223 W. Jackson, suite 1104",Chicago,IL,60606,81143,Footwear and Leather Goods Repair,32,0,19,6206.54,3,10/14/00,6/22/02,32,,6206.54,3,0,6206.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
231467,1229122,Well Cleaner,Well Cleaner,1515 W. Diversey,Chicago,IL,60614,811192,Car Washes,57,0,56,26394.31,56,9/12/00,9/10/02,57,,26394.31,56,0,26394.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
231472,1232157,Pro Construction,"Pro Construction, Inc.",6701 Divrsey Ave.,Chicago,IL,60607,236220,Commercial and Institutional Building Construction,34,0,34,16277,33,10/2/00,9/27/02,33,,16277,33,0,16277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
231564,1400422,"Dr. Danita A. Stinson, DDS","Dr. Danita A. Stinson, DDS P.C.",1600 E. 93rd St.,Chicago,IL,60628,621210,Offices of Dentists,3,0,3,1626.57,3,3/7/04,7/6/05,3,,1626.57,3,0,1626.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
231640,1583952,"Dalamares Produce Co., Inc","Dalamares Produce, Inc.",1314 W 21st St,Chicago,IL,60608,424480,Fresh Fruit and Vegetable Merchant Wholesalers,19,0,18,18316.5,18,7/31/08,7/29/10,19,,18316.5,18,0,18316.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
231784,1669533,New City Moving,Windy City Moving Inc.,2358 N. Damen,Chicago,IL,60647,484121,"General Freight Trucking, Long-Distance, Truckload",1,0,0,0,0,9/30/10,9/26/12,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
231785,1669535,A. J. Hudson's Public House,Chicago Drinking Company Inc.,3801 N Ashland,Chicago,IL,60613,722110,Full-Service Restaurants,0,0,0,0,0,9/1/11,9/28/12,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
231810,1549553,El Veneno,Mariscos El Veneno Corporation,6651 S Pulaski,Chicago,IL,60629,722110,Full-Service Restaurants,19,0,11,36904.11,11,8/10/07,8/7/09,19,,36904.11,11,13940.98,22963.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
232517,1710005,Customized Teez,"ICustom Il, LLC",7601 S. Cicero Avenue,Chicago,IL,60653,452990,All Other General Merchandise Stores,2,0,2,819.64,2,4/1/13,12/15/13,2,,819.64,2,0,819.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
232899,1575256,La Caridad Food & Liqours (Fullerton Ave),"Carmen, Inc",3575 W Fullerton Ave,Chicago,IL,60647,4453,"Beer, Wine, and Liquor Stores",6,0,5,17658.45,5,5/1/08,5/1/10,6,,17658.45,5,0,17658.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
233365,1639672,Horizon Realty Group,"Horizon Group Management, LLC.","4242 N. Sheridan Rd., Suite 120",Chicago,IL,60613,531210,Offices of Real Estate Agents and Brokers,42,4301,23,26132.08,23,3/1/11,1/21/12,42,R,26132.08,23,16944.82,0,9187.26,4301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
233402,1579710,Watertower Surgicenter,Watertower Surgicenter Corp.,845 N. Michigan Ave.,Chicago,IL,60611,621111,Offices of Physicians (except Mental Health Specialists),12,0,11,3683,2,7/5/08,7/3/10,12,,3683,2,3683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
233649,1566473,Lalo's on Clybourn,"Canquin , Inc.",1960 N. Clybourn,Chicago,IL,60614,722110,Full-Service Restaurants,164,0,111,184570.96,111,1/19/08,1/15/10,164,,184570.96,111,172249.49,12321.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
233684,1717418,La Quebrada Restaurant (63rd St),"La Quebrada #5, Inc.",3816 W. 63rd Street,Chicago,IL,60629,722110,Full-Service Restaurants,4,0,3,5672.45,3,10/24/11,10/23/13,4,,5672.45,3,0,5672.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
233970,1709307,Taco Burrito King (Chicago),"Taco Burrito King 4, Inc.",5509 N. Harlem Ave,Chicago,IL,60656,722211,Limited-Service Restaurants,10,0,9,33775.98,9,11/25/11,11/24/13,10,,33775.98,9,0,33775.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
234005,1684367,"Briar Patch Landscape Construction, Inc.","Briar Patch Landscape Construction, Inc.",4933 N. Mozart St,Chicago,IL,60625,561730,Landscaping Services,0,0,0,0,0,12/8/12,12/16/12,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
234034,1556878,Hospitality & Catering Management Services,Hospitality & Catering Management Services,"2150 S. Canalport Avenue, #3A1",Chicago,IL,60608,561310,Employment Placement Agencies,0,0,0,0,0,5/4/09,6/7/09,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
234187,1472779,Ryerson Tull,"Joseph T. Ryerson & Son, Inc.",1625 W. 16th Street,Chicago,IL,60608,3312,Steel Product Manufacturing from Purchased Steel,0,0,1,0,0,1/2/06,6/5/07,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
234372,1733042,Jernburg,"Jernberg Industries, LLC.",239 W. 40th Place,Chicago,IL,60629,332111,Iron and Steel Forging,0,0,1,0,0,3/19/14,8/16/14,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
234630,1579008,Rich's Delicatessen & Liquor,"Rich's Delicatessen and Liquors, Inc.",857 N. Western Ave.,Chicago,IL,60622,445110,Supermarkets and Other Grocery (except Convenience) Stores,1,0,0,0,0,2/15/08,2/14/10,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
235162,1673942,Los Comales,"Taqueria Los Comales #1, Inc.",3141 W. 26th St.,Chicago,IL,60623,72241,Drinking Places (Alcoholic Beverages),23,0,22,7862.46,22,11/5/10,11/2/12,23,,7862.46,22,0,7862.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
235395,1636004,Cook County Youth Detention Center,Cook County Youth Detention Center,1100 S. Hamilton Ave,Chicago,IL,60612,9610,Local Correctional Institutions,0,0,1,0,0,10/28/11,11/7/11,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
235990,1404501,Fullerton Surgery Center,"Fullerton Surgery Center, Inc.",4849 W. Fullerton,Chicago,IL,60639,621493,Freestanding Ambulatory Surgical and Emergency Centers,4,0,4,620.62,4,1/23/05,5/15/05,4,,620.62,4,0,620.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
236505,1502011,Sofitel Chicago Water Tower,"La Touraine, L.L.C.",20 East Chestnut,Chicago,IL,60611,72111,Hotels (except Casino Hotels) and Motels,0,0,1,0,0,11/27/07,2/19/08,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
236668,1595503,Lalo's on Clyborn 2,"Canquin, Inc",1960 N. Clyborn,Chicago,IL,60614,722110,Full-Service Restaurants,6,0,5,11771,5,10/19/08,1/16/10,6,,11771,5,11612.87,158.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
236940,1539296,Park Supply,Park Supply,3509 W. Addison St.,Chicago,IL,60618,42373,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,0,0,1,0,0,11/12/08,5/27/09,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
236960,1521195,Viceroy of India (Chicago),Jainson International Inc.,2520 W Devon Ave,Chicago,IL,60659,722110,Full-Service Restaurants,19,0,13,34853.08,13,3/11/06,3/11/08,19,R,34853.08,13,1145.96,33707.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-20 01:00:06.112000 AMERICA/NEW_YORK
