,case_id,trade_nm,legal_name,street_addr_1_txt,cty_nm,st_cd,zip_cd,case_violtn_cnt,cmp_assd_cnt,ee_violtd_cnt,bw_atp_amt,ee_atp_cnt,findings_start_date,findings_end_date,flsa_violtn_cnt
203993,1572513,Saffron Indian Cuisine,Saffron Enterprises Limited,5801 S Ellis Ave,Chicago,IL,60637,0,0,0,0,0,2008-06-05,2010-06-04,0
204001,1711516,Gioco Restaurant,"Boutique Hospitality, LLc",1312 S. Wabash,Chicago,IL,60605,4,0,3,0,0,2011-10-13,2013-10-10,4
204111,1592984,"KCR Maintenance, Inc.","KCR Maintenance, Inc.","636 N. Orleans Street, Suite 350",Chicago,IL,60654,1,0,1,23.59,1,2008-09-28,2010-09-18,1
204218,1697097,Chicago Specialty Gardens,"Chicago Specialty Gardens, Inc","1765 N. Elston Ave, Suite 203",Chicago,IL,60642,1,0,0,0,0,2011-08-01,2013-07-07,1
204452,1664046,Parliament Builders,"Parliament Builders, Inc.",4455 S Knox,Chicago,IL,60632,0,0,0,0,0,2012-06-21,2012-07-10,0
204563,1439190,Subway #23929,"NISHA Food, Inc.",2300 N. Milwaukee,Chicago,IL,60647,4,0,3,2969.77,3,2005-01-03,2006-04-01,4
204712,1688146,Chicago Transit Authority,Chicago Transit Authority,5419 W. Armstrong,Chicago,IL,60646,0,0,1,0,0,2013-01-25,2013-04-11,0
204716,1688154,Carr's Honda,DBC Corporation,6600 N. Western Ave,Chicago,IL,60618,10,0,8,1748.78,8,2011-03-27,2013-03-24,10
204729,1669007,Chicago Transit Authority,Chicago Transit Authority,1815 West  74th Street,Chicago,IL,60636,0,0,1,0,0,2012-07-04,2012-07-21,0
204934,1649105,"Habilitative Systems, Inc.","Habilitative Systems, Inc.",415 S. Kilpatrick Ave.,Chicago,IL,60644,60,0,59,141.4,59,2011-07-01,2012-06-30,1
205021,1660237,Discount Meat & Produce Fresh Market,Discount Meat Company,341 W. 79th St,Chicago,IL,60686,10,0,6,7696.54,6,2010-06-27,2012-06-24,10
205128,1671156,"Jernberg Industries, Inc.","Jernberg Industries, , Inc",328 W 40th PL,Chicago,IL,60609,6,0,5,205.96,5,2010-10-24,2012-10-21,6
205130,1671158,Chicago Transit Authority,Chicago Transit Authority,1702 E. 103rd St.,Chicago,IL,60617,0,0,1,0,0,2012-09-08,2012-12-17,0
205430,1442779,Career Staff Unlimited,Career Staff Unlimited,444 N. Wells St.,Chicago,IL,60610,1,0,1,999.64,1,2005-04-17,2006-06-23,1
205561,1655581,Shop & Save Market/Chicago,Archer Advisors LLC,5829 S. Archer Ave,Chicago,IL,60638,1,0,0,0,0,2010-05-08,2012-05-07,1
205893,1688917,Chicago Transit Authority,Chicago Transit Authority,358 S. Kedzie,Chicago,IL,60612,0,0,1,0,0,2013-02-18,2013-02-19,0
205985,1387046,Metropolitan Limousine,"Metropolitan Limousine, Inc",845 N. Michigan Avenue,Chicago,IL,60611,18,0,18,24198.44,18,2003-01-08,2005-01-07,18
206090,1649837,Velasquez Mufflers for Less Vincennes,Payton Corporation IV,8234 S. Vincennes,Chicago,IL,60620,11,0,7,38631.5,7,2009-03-23,2011-03-22,11
206091,1649841,Velasquez and Sons Berwyn,La Estacion Corp VI,6440 W. Ogden Ave.,Chicago,IL,60617,4,0,2,34078.4,2,2009-03-23,2011-03-22,4
206094,1649854,Velasquez and Sons Mufflers for Less Archer,Payton Corp IX,5317 Archer Avenue,Chicago,IL,60632,31,0,19,98047.2,19,2009-03-23,2011-03-22,31
206184,1660784,Al's #1 Italian Beef,Garfield Beef Inc.,5441 S. Wentworth,Chicago,IL,60609,6,770,5,17667.77,5,2010-08-01,2012-08-04,6
206382,1681283,The Nurse Source,The Nurse Source,6160 N Cicero Suite 124,Chicago,IL,60646,2,0,1,0,0,2011-01-15,2013-01-14,2
206384,1681287,Chicago Housing Authority,Chicago Housing Authority,60 E Van Buren,Chicago,IL,60605,0,0,1,0,0,2012-11-13,2013-01-25,0
206639,1642038,Bolts Design,"Bolts Design, Inc",4534 W. North Avenue,Chicago,IL,60639,31,0,26,0,0,2010-01-14,2012-01-14,31
207255,1650712,ABM Janitorial Services-North Central,"ABM Janitorial Services - North Central, Inc","180 N LaSalle Street, Suite 1700",Chicago,IL,60601,2,220,1,10799.75,1,2010-06-25,2012-05-12,2
207810,1643903,Pepe's Restaurant,Harlem Avenue Pepe's Inc.,4610 N. Harlem,Chicago,IL,60656,6,0,6,10895.56,6,2010-03-06,2012-03-04,6
207820,1644470,Yolk Streeterville,"Kpokos IV, Inc.",355 E. Ohio Street,Chicago,IL,60611,10,0,8,11702.07,8,2010-02-08,2012-02-05,9
207926,1661665,Habilitative Systems,"Habilitative Systems, Inc.",415 S. Kilpatrick,Chicago,IL,60644,95,0,62,120502.62,62,2012-05-16,2012-06-30,95
208346,1568599,"Braz Trans, Inc","Braz Trans, Inc.",2801 E. 104th St.,Chicago,IL,60617,4,0,4,1045.32,4,2008-03-15,2010-03-14,4
208373,1776876,"Allcity Cleaning & Maintenance Services, Inc.","Allcity Cleaning & Maintenance Services, Inc.",3216 N. Oriole Ave,Chicago,IL,60634,0,0,0,0,0,2013-12-02,2015-12-01,0
208778,1690199,3600 Condo Association,3600 Condominium Association,3600 N Lake Shore Dr,Chicago,IL,60613,4,0,3,2306.94,3,2011-04-17,2013-04-13,4
208790,1690288,Christy Webber Landscapes,Christy Webber & Co,2900 W. Ferdinand St.,Chicago,IL,60612,0,0,0,0,0,2011-05-01,2013-04-17,0
208806,1690377,Mexico Sons Muffler and Brakes,"MGD Mufflers, Inc.",5700 S. Western Ave.,Chicago,IL,60636,0,0,0,0,0,2011-04-09,2013-04-06,0
209674,1662426,Holiday Inn Express Magnificent Mile,HCP Oxford OBG Cass Property Company LLC,640 N. Wabash,Chicago,IL,60611,0,0,0,0,0,2010-07-18,2012-07-18,0
210039,1544137,New World Laundry,Fletcher Laundry I,6049 S Halsted,Chicago,IL,60621,1,0,0,0,0,2007-08-12,2009-08-11,1
210076,1563915,Jiffy Lube,"BJKJ Enterprises, LLC",2401 N. Austin Ave.,Chicago,IL,60639,7,0,6,450.86,6,2008-06-04,2009-10-15,7
210141,1646178,Stroger Hospital,Cook County Government,1801 W Harrison,Chicago,IL,60610,11,0,10,5495.61,10,2010-03-13,2012-03-06,11
210146,1652666,Parliament Builders,"Parliament Builders, Inc.",4455 S Knox,Chicago,IL,60632,7,0,3,23241.74,3,2012-03-05,2012-04-27,0
210352,1672818,Chicago Transit Authority,Chicago Transit Authority,642 N Pulaski,Chicago,IL,60624,0,0,1,0,0,2012-09-10,2012-10-09,0
210632,1647927,Talx ( A division of Equifax),"Talx UCM Services, Inc.",5519 N. Cumberland #1002,Chicago,IL,60656,5,0,4,7412.77,4,2010-04-01,2012-04-01,5
210689,1635461,Diamond Waste & Recycling,Diamond Waste & Recycling Corporation,8149 S. Wallace St,Chicago,IL,60620,5,0,5,41812.68,5,2009-12-18,2011-12-18,5
210853,1666333,Chicago State University,Board of Trustees of Chicago State University,9501 S King Dr Adm. 203,Chicago,IL,60628,0,0,1,0,0,2012-06-01,2012-07-31,0
210892,1669945,Dearborn Wholesale Grocers,"Dearborn Wholesale Grocers, Inc.",2801 S. Western Ave.,Chicago,IL,60608,2,0,1,5275.44,1,2012-06-01,2012-10-01,0
210895,1669951,Blackie's Restaurant,"Thomas Liquors, Inc.",755 S Clark Street,Chicago,IL,60605,2,0,1,2539.2,1,2010-11-22,2012-11-22,2
210932,1673066,"5 T Construction, Inc.","5 T Construction, Inc.",647 E. 75th St 1st Floor,Chicago,IL,60619,0,0,0,0,0,2011-09-19,2012-01-26,0
211028,1682892,Bridgeport pharmacy,Bridgeport Pharmacy Inc,3201 S Wallace Street,Chicago,IL,60616,1,0,0,0,0,2011-02-01,2013-01-28,1
211207,1669321,Chicago Transit Authority,Chicago Transist Authority,1702 E. 103rd,Chicago,IL,60617,0,0,1,0,0,2012-04-21,2012-04-28,0
211211,1669323,Chicago Transit Authority,Chicago Transit Authority,7700 S. Vincennes,Chicago,IL,60620,1,0,1,0,0,2012-08-14,2012-08-14,0
211374,1658888,The  Haymarket Center,McDermott Center,120 Sangamon,Chicago,IL,60607,12,0,12,5254.71,12,2010-07-05,2012-06-18,12
211706,1691840,Archer Western/De Maria JV II,Archer Western/DeMaria Joint Venture II,929 W. Adams Street,Chicago,IL,60607,3,0,1,127.07,1,2011-06-08,2013-04-07,1
211726,1601012,ACORN Housing Corp.,Affordable Housing Centers of America (AHCOA),"209 W. Jackson Blvd., Ste. 301",Chicago,IL,60606,0,0,0,0,0,2009-01-11,2011-01-09,0
211739,1696212,"April Fresh & Pro Cleaning Services, Inc","April Fresh & Pro Cleaning Services, Inc",5009 N. Meade,Chicago,IL,60630,0,0,0,0,0,2011-06-14,2013-06-07,0
211740,1696214,Tierra Caliente Restaurant,"Tierra Caliente, Inc.",4070 S. Archer Ave,Chicago,IL,60632,2,0,0,0,0,2011-06-09,2013-06-02,2
211909,1653968,Best Value Auto Body Supply,Best Value Auto Body Supply Inc.,4425 W. 16th Street,Chicago,IL,60623,3,0,2,340.22,2,2011-09-25,2012-08-08,3
212005,1666718,Chicago Transit Authority,Chicago Transit Authority,3112 W. Foster Ave,Chicago,IL,60625,0,0,1,0,0,2012-07-31,2012-10-02,0
212096,1741690,Chicago Staging Inc/ Chicago Scaffolding Inc,Chicago Staging Inc.,4824 W. Lake St,Chicago,IL,60644,17,0,16,4154.27,16,2013-01-01,2014-12-31,17
212189,1683309,Rainbow Beach Extended Care,Rainbow Beach QOC LLC,7325 S. Exchange Ave.,Chicago,IL,60649,1,0,0,0,0,2011-03-01,2013-02-23,1
212467,1654114,Herron Development Company,Herron Development Company,141 South Central,Chicago,IL,60644,0,0,0,0,0,2010-07-09,2012-07-06,0
212534,1659574,City of Chicago Department of Finance,City of Chicago Department of Finance,121 N. La Salle,Chicago,IL,60604,2,0,1,0,0,2010-07-11,2012-07-10,0
212628,1670545,Chicago Transit Authority,Chicago Transit Authority,1845 W. 74th St,Chicago,IL,60636,0,0,1,0,0,2012-09-01,2013-05-30,0
212908,1663095,Abraham Lincoln Center,Abraham Lincoln Center,3858 S. Cottage Grove,Chicago,IL,60653,92,0,60,252914.59,60,2010-08-16,2012-08-15,92
213093,1573032,USPS,United States Postal Service,9308 S Chicago Ave,Chicago,IL,60617,0,0,1,0,0,2009-06-01,2010-06-05,0
213110,1709269,Ted's Auto Clinic,Ted's Auto Clinic,7850 W. Addison Ave,Chicago,IL,60634,1,0,0,0,0,2011-11-06,2013-11-02,1
213112,1709270,Augusta & Paulina Auto Service,Augusta & Paulina Service Station,1700 W. Augusta Blvd,Chicago,IL,60622,0,0,0,0,0,2012-01-01,2013-11-15,0
213191,1716512,A&G Fresh Market,A & G Fresh Market Inc.,5630 W. Belmont Ave,Chicago,IL,60634,1,0,0,0,0,2012-02-10,2014-02-07,1
213192,1716513,Carnicerias Jimenez,Carnicerias Jimenez Inc,4204 W. North Ave,Chicago,IL,60639,1,0,1,8948.21,1,2012-04-04,2014-03-29,1
213194,1716515,Devon Market,Devon Market,1440 W. Devon Ave,Chicago,IL,60626,0,0,0,0,0,2014-01-23,2014-04-23,0
213196,1716517,Gene's Sausage Shop/Belmont,"Gene's Sausage Shop and Delicatessen, Inc",5330 W. Belmont Ave,Chicago,IL,60634,2,0,0,0,0,2012-02-20,2014-02-16,2
213487,1666328,Chicago Transit Authority,Chicago Transit Authority,5419 W Armstrong,Chicago,IL,60617,0,0,1,0,0,2012-05-13,2013-09-28,0
214093,1688629,Chicago Transit Authority,Chicago Transit Authority,1704 E. 103rd St.,Chicago,IL,60619,0,0,1,0,0,2013-03-10,2013-03-13,0
214383,1626157,United Airlines,United Continental Inc,77 W Wacker Dr. Floor 16,Chicago,IL,60601,0,0,1,0,0,2009-08-01,2011-07-31,0
214429,1721637,Devon Market LLC,Devon Market LLC,1440 W Devon Avenue,Chicago,IL,60626,3,0,1,4956,1,2012-02-02,2014-01-31,2
214770,1703155,Diamond Waste & Recycling Corp,Diamond Waste & Recycling Corp,8149 S. Wallace St.,Chicago,IL,60620,2,154,1,532.36,1,2011-08-21,2013-04-20,2
214951,1717108,Delgado's Auto Service,"Delgado's Auto Service, Inc",1831 N. Western Ave,Chicago,IL,60647,2,0,1,269.61,1,2013-04-01,2014-02-15,2
214952,1717113,Lucas Tire and Auto Care Center,Vehicle Alignment Brake & Tires Inc.,3501 N. Western Ave,Chicago,IL,60618,1,0,0,0,0,2012-02-03,2014-01-31,1
214959,1717167,Exelon,Exelon Corporation,"10 S. Dearborn, 48th Floor",Chicago,IL,60680,0,0,0,0,0,2012-10-19,2014-03-06,0
215235,1673153,Monroe Pavilion Health Center,Monroe Pavilion and Treatment Center,1400 W. Monroe,Chicago,IL,60607,20,0,20,13061.13,20,2010-12-03,2012-06-03,20
215243,1673415,Chicago Transit Authority,Chicago Transit Authority,358 S. Kedzie,Chicago,IL,60612,0,0,1,0,0,2012-09-20,2014-01-02,0
215378,1706742,Chicago Transit Authority,Chicago Transit Authority,567 W. Lake St,Chicago,IL,60661,1,0,1,0,0,2013-08-19,2014-01-02,0
215521,1717264,"Trilogy, Inc.","Trilogy, Inc",1400 W. Greenleaf Ave,Chicago,IL,60626,1,0,0,0,0,2012-02-18,2014-02-18,1
215795,1673937,Glen Elston Nursing and Rehab Centre,"Glen Elston Nursing and Rehab Centre, LTD",4340 N. Keystone Ave.,Chicago,IL,60641,47,0,47,13934.44,47,2010-11-13,2012-11-10,47
215852,1691028,Lindo Michoacan,"Lindo Michoacan, Inc.",3142 W. Lawrence,Chicago,IL,60625,118,0,78,27631.61,64,2011-11-05,2013-11-02,118
